uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1cccc(F)c1F,C=CF,6,17,42.1608833377164,0,True
12,O=C([O-])c1c(F)cc(-c2c(F)cc(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)cccc1F,Fc1cccc(F)c1,7,18,58.918650336449794,12,True
21,Cc1c(C(=O)[O-])cc(-c2ccc(-c3cc(C(=O)[O-])c(C)c(C(=O)[O-])c3C)c(C)c2C)cc1C(=O)[O-],Cc1c(C(=O)[O-])cccc1C(=O)[O-].Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-],Cc1ccccc1C,7,20,103.44407740820272,21,True
38,Cc1cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2C)cc(C)c1-c1cc(C(=O)[O-])c(C)c(C(=O)[O-])c1C,Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-].Cc1ccc(C(=O)[O-])cc1C(=O)[O-],Cc1cccc(C)c1,12,20,95.56128367964344,38,True
51,Cc1cc(-c2cc(C(=O)[O-])c(C)c(C(=O)[O-])c2C)ccc1-c1c(C)c(C(=O)[O-])cc(C(=O)[O-])c1C,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-],Cc1ccccc1,13,21,102.32674812103774,51,True
67,Cc1c(C(=O)[O-])cc(C(=O)[O-])cc1-c1ccc(-c2cc(C(=O)[O-])c(C)c(C(=O)[O-])c2C)c(C)c1C,Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-].Cc1ccc(C(=O)[O-])cc1C(=O)[O-],Cc1ccccc1C,12,20,99.53383046731422,67,True
84,O=C([O-])c1ccc(-c2nnc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)nn2)cc1F,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1ccccc1F,c1nncnn1,8,19,49.016573988013725,84,True
93,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3F)nn2)cc1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1,c1nncnn1,6,15,43.57882412430586,93,True
101,NC(=Cc1cc(N)nc(N)c1)c1cc(N)ncc1N,Nc1ccc(N)nc1.Nc1cccc(N)n1,C=CN,3,11,42.14193949517683,101,True
0,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,46.47510331957853,0,True
11,Fc1cc(-c2nnc(-c3c(F)cnc(F)c3F)nn2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,c1nncnn1,3,17,40.67537965078477,11,True
15,O=C([O-])c1c(F)cc(-c2nnc(-c3cc(F)c(C(=O)[O-])c(F)c3F)nn2)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)cccc1F,c1nncnn1,7,18,48.73316410855874,15,True
20,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.08918056118642,20,True
27,CCCc1cc(C(=O)[O-])cc(CCC)c1-c1ccc(-c2ccc(C(=O)[O-])c(CCC)c2CCC)cc1,CCCc1cc(CCC)cc(C(=O)[O-])c1.CCCc1cccc(C(=O)[O-])c1CCC,c1ccccc1,10,29,82.63141559050673,27,True
46,Cc1cc(-c2ccc(-c3cc(C)c(C(=O)[O-])cc3C)cc2C)ccc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1ccccc1C(=O)[O-],Cc1ccccc1,3,14,73.55639352607821,46,True
54,Cc1cc(-c2ccc(-c3c(C)cncc3C)cc2C)ccn1,Cc1ccccn1.Cc1cncc(C)c1,Cc1ccccc1,3,14,59.543809844318055,54,True
62,O=C([O-])c1ccc(C=C(F)c2cc(F)c(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,7,18,44.11836928688597,62,True
75,O=C([O-])c1cc(F)c(C=C(F)c2cc(F)c(C(=O)[O-])cc2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cc(F)ccc1F,C=CF,7,18,43.35368172346114,75,True
0,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.4206157315572,0,True
10,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,65.88166533051947,10,True
23,O=C([O-])c1cc(C(=O)[O-])cc(-c2c(F)cc(-c3c(F)c(C(=O)[O-])c(F)c(C(=O)[O-])c3F)cc2F)c1,O=C([O-])c1c(F)cc(F)c(C(=O)[O-])c1F.O=C([O-])c1cccc(C(=O)[O-])c1,Fc1cccc(F)c1,12,25,65.78721053863535,23,True
