uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
55,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,97.97821802135483
56,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.01369124425592
57,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.01369125872925
58,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.0136914244472
59,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.0907128424809
60,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.09071290494884
61,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.09071293197186
62,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.09071563384288
63,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.6201721435863
64,Cc1c(C(=O)[O-])cc(C(=O)[O-])c(C)c1-c1ccc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],c1ccccc1,13,27,98.69689388400849
